PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Relacionados
1,0,3,0,22.0,1,0,0,0,0,1
2,1,1,1,38.0,1,0,1,1,2,1
3,1,3,1,26.0,0,0,0,0,1,0
4,1,1,1,35.0,1,0,1,0,2,1
5,0,3,0,35.0,0,0,0,0,0,0
6,0,3,0,32.0,0,0,0,2,0,0
7,0,1,0,54.0,0,0,1,0,0,0
8,0,3,0,2.0,3,1,0,0,3,1
9,1,3,1,27.0,0,2,0,0,2,1
10,1,2,1,14.0,1,0,0,1,2,1
11,1,3,1,4.0,1,1,0,0,1,1
12,1,1,1,58.0,0,0,0,0,1,0
13,0,3,0,20.0,0,0,0,0,0,0
14,0,3,0,39.0,1,5,0,0,0,1
15,0,3,1,14.0,0,0,0,0,1,0
16,1,2,1,55.0,0,0,0,0,2,0
17,0,3,0,2.0,4,1,0,2,3,1
18,1,2,0,32.0,0,0,0,0,0,0
19,0,3,1,31.0,1,0,0,0,2,1
20,1,3,1,36.0,0,0,0,1,2,0
21,0,2,0,35.0,0,0,0,0,0,1
22,1,2,0,34.0,0,0,0,0,0,0
23,1,3,1,15.0,0,0,0,2,1,0
24,1,1,0,28.0,0,0,0,0,0,0
25,0,3,1,8.0,3,1,0,0,1,1
26,1,3,1,38.0,1,5,0,0,2,1
27,0,3,0,32.0,0,0,0,1,0,0
28,0,1,0,19.0,3,2,1,0,0,1
29,1,3,1,22.0,0,0,0,2,1,0
30,0,3,0,32.0,0,0,0,0,0,0
31,0,1,0,40.0,0,0,0,1,4,0
32,1,1,1,36.0,1,0,1,1,2,1
33,1,3,1,22.0,0,0,0,2,1,0
34,0,2,0,66.0,0,0,0,0,0,0
35,0,1,0,28.0,1,0,1,1,0,1
36,0,1,0,42.0,1,0,1,0,0,1
37,1,3,0,32.0,0,0,0,1,0,0
38,0,3,0,21.0,0,0,0,0,0,0
39,0,3,1,18.0,2,0,0,0,1,1
40,1,3,1,14.0,1,0,0,1,1,1
41,0,3,1,40.0,1,0,0,0,2,1
42,0,2,1,27.0,1,0,0,0,2,1
43,0,3,0,32.0,0,0,0,1,0,0
44,1,2,1,3.0,1,2,0,1,1,1
45,1,3,1,19.0,0,0,0,2,1,0
46,0,3,0,32.0,0,0,0,0,0,0
47,0,3,0,32.0,1,0,0,2,0,1
48,1,3,1,22.0,0,0,0,2,1,0
49,0,3,0,32.0,2,0,0,1,0,1
50,0,3,1,18.0,1,0,0,0,2,1
51,0,3,0,7.0,4,1,0,0,3,1
52,0,3,0,21.0,0,0,0,0,0,0
53,1,1,1,49.0,1,0,1,1,2,1
54,1,2,1,29.0,1,0,0,0,2,1
55,0,1,0,65.0,0,1,1,1,0,1
56,1,1,0,32.0,0,0,0,0,0,0
57,1,2,1,21.0,0,0,0,0,1,0
58,0,3,0,28.0,0,0,0,1,0,0
59,1,2,1,5.0,1,2,0,0,1,1
60,0,3,0,11.0,5,2,0,0,3,1
61,0,3,0,22.0,0,0,0,1,0,0
63,0,1,0,45.0,1,0,1,0,0,1
64,0,3,0,4.0,3,2,0,0,3,1
65,0,1,0,32.0,0,0,0,1,0,0
66,1,3,0,5.0,1,1,0,1,3,1
67,1,2,1,29.0,0,0,0,0,2,0
68,0,3,0,19.0,0,0,0,0,0,0
69,1,3,1,17.0,4,2,0,0,1,1
70,0,3,0,26.0,2,0,0,0,0,1
71,0,2,0,32.0,0,0,0,0,0,0
72,0,3,1,16.0,5,2,0,0,1,1
73,0,2,0,21.0,0,0,1,0,0,1
74,0,3,0,26.0,1,0,0,1,0,1
75,1,3,0,32.0,0,0,1,0,0,1
76,0,3,0,25.0,0,0,0,0,0,0
77,0,3,0,32.0,0,0,0,0,0,0
78,0,3,0,32.0,0,0,0,0,0,0
79,1,2,0,1.0,0,2,0,0,3,1
80,1,3,1,30.0,0,0,0,0,1,1
81,0,3,0,22.0,0,0,0,0,0,0
82,1,3,0,29.0,0,0,0,0,0,0
83,1,3,1,22.0,0,0,0,2,1,0
84,0,1,0,28.0,0,0,0,0,0,0
85,1,2,1,17.0,0,0,0,0,1,0
86,1,3,1,33.0,3,0,0,0,2,1
87,0,3,0,16.0,1,3,0,0,0,1
88,0,3,0,32.0,0,0,0,0,0,0
89,1,1,1,23.0,3,2,1,0,1,1
90,0,3,0,24.0,0,0,0,0,0,0
91,0,3,0,29.0,0,0,0,0,0,0
92,0,3,0,20.0,0,0,0,0,0,0
93,0,1,0,46.0,1,0,1,0,0,1
94,0,3,0,26.0,1,2,0,0,0,1
95,0,3,0,59.0,0,0,0,0,0,0
96,0,3,0,32.0,0,0,0,0,0,0
97,0,1,0,71.0,0,0,0,1,0,0
98,1,1,0,23.0,0,1,1,1,0,1
99,1,2,1,34.0,0,1,0,0,2,1
100,0,2,0,34.0,1,0,0,0,0,1
101,0,3,1,28.0,0,0,0,0,1,0
102,0,3,0,32.0,0,0,0,0,0,0
103,0,1,0,21.0,0,1,1,0,0,1
104,0,3,0,33.0,0,0,0,0,0,0
105,0,3,0,37.0,2,0,0,0,0,1
106,0,3,0,28.0,0,0,0,0,0,0
107,1,3,1,21.0,0,0,0,0,1,0
108,1,3,0,32.0,0,0,0,0,0,0
109,0,3,0,38.0,0,0,0,0,0,0
110,1,3,1,22.0,1,0,0,2,1,1
111,0,1,0,47.0,0,0,1,0,0,1
112,0,3,1,14.0,1,0,0,1,1,1
113,0,3,0,22.0,0,0,0,0,0,0
114,0,3,1,20.0,1,0,0,0,1,1
115,0,3,1,17.0,0,0,0,1,1,1
116,0,3,0,21.0,0,0,0,0,0,0
117,0,3,0,70.0,0,0,0,2,0,0
118,0,2,0,29.0,1,0,0,0,0,1
119,0,1,0,24.0,0,1,1,1,0,1
120,0,3,1,2.0,4,2,0,0,1,1
121,0,2,0,21.0,2,0,1,0,0,1
122,0,3,0,32.0,0,0,0,0,0,0
123,0,2,0,32.0,1,0,0,1,0,1
124,1,2,1,32.0,0,0,0,0,1,0
125,0,1,0,54.0,0,1,1,0,0,1
126,1,3,0,12.0,1,0,0,1,3,1
127,0,3,0,32.0,0,0,0,2,0,0
128,1,3,0,24.0,0,0,0,0,0,0
129,1,3,1,22.0,1,1,0,1,1,1
130,0,3,0,45.0,0,0,0,0,0,0
131,0,3,0,33.0,0,0,0,1,0,0
132,0,3,0,20.0,0,0,0,0,0,0
133,0,3,1,47.0,1,0,0,0,2,1
134,1,2,1,29.0,1,0,0,0,2,1
135,0,2,0,25.0,0,0,0,0,0,0
136,0,2,0,23.0,0,0,0,1,0,0
137,1,1,1,19.0,0,2,0,0,1,1
138,0,1,0,37.0,1,0,1,0,0,1
139,0,3,0,16.0,0,0,0,0,0,1
140,0,1,0,24.0,0,0,1,1,0,1
141,0,3,1,36.0,0,2,0,1,2,1
142,1,3,1,22.0,0,0,0,0,1,0
143,1,3,1,24.0,1,0,0,0,2,1
144,0,3,0,19.0,0,0,0,2,0,0
145,0,2,0,18.0,0,0,0,0,0,0
146,0,2,0,19.0,1,1,0,0,0,1
147,1,3,0,27.0,0,0,0,0,0,0
148,0,3,1,9.0,2,2,0,0,1,1
149,0,2,0,36.0,0,2,0,0,0,1
150,0,2,0,42.0,0,0,0,0,4,0
151,0,2,0,51.0,0,0,0,0,4,0
152,1,1,1,22.0,1,0,1,0,2,1
153,0,3,0,56.0,0,0,0,0,0,0
154,0,3,0,40.0,0,2,0,0,0,1
155,0,3,0,32.0,0,0,0,0,0,0
156,0,1,0,51.0,0,1,1,1,0,1
157,1,3,1,16.0,0,0,0,2,1,0
158,0,3,0,30.0,0,0,0,0,0,0
159,0,3,0,32.0,0,0,0,0,0,0
160,0,3,0,5.0,8,2,1,0,3,1
161,0,3,0,44.0,0,1,0,0,0,1
162,1,2,1,40.0,0,0,0,0,2,0
163,0,3,0,26.0,0,0,0,0,0,0
164,0,3,0,17.0,0,0,0,0,0,0
165,0,3,0,1.0,4,1,0,0,3,1
166,1,3,0,9.0,0,2,0,0,3,1
167,1,1,1,36.0,0,1,1,0,2,1
168,0,3,1,45.0,1,4,0,0,2,1
169,0,1,0,32.0,0,0,0,0,0,0
170,0,3,0,28.0,0,0,1,0,0,1
171,0,1,0,61.0,0,0,0,0,0,0
172,0,3,0,4.0,4,1,0,2,3,1
173,1,3,1,1.0,1,1,0,0,1,1
174,0,3,0,21.0,0,0,0,0,0,0
175,0,1,0,56.0,0,0,0,1,0,0
176,0,3,0,18.0,1,1,0,0,0,1
177,0,3,0,5.0,3,1,0,0,3,1
178,0,1,1,50.0,0,0,0,1,1,0
179,0,2,0,30.0,0,0,0,0,0,0
180,0,3,0,36.0,0,0,0,0,0,1
181,0,3,1,22.0,8,2,1,0,1,1
182,0,2,0,32.0,0,0,0,1,0,0
183,0,3,0,9.0,4,2,0,0,3,1
184,1,2,0,1.0,2,1,0,0,3,1
185,1,3,1,4.0,0,2,0,0,1,1
186,0,1,0,32.0,0,0,1,0,0,0
187,1,3,1,36.0,1,0,0,2,2,1
188,1,1,0,45.0,0,0,0,0,0,0
189,0,3,0,40.0,1,1,0,2,0,1
190,0,3,0,36.0,0,0,0,0,0,0
191,1,2,1,32.0,0,0,0,0,2,0
192,0,2,0,19.0,0,0,0,0,0,0
193,1,3,1,19.0,1,0,0,0,1,1
194,1,2,0,3.0,1,1,0,0,3,1
195,1,1,1,44.0,0,0,0,1,2,0
196,1,1,1,58.0,0,0,1,1,1,1
197,0,3,0,32.0,0,0,0,2,0,0
198,0,3,0,42.0,0,1,0,0,0,1
199,1,3,1,22.0,0,0,0,2,1,0
200,0,2,1,24.0,0,0,0,0,1,0
201,0,3,0,28.0,0,0,0,0,0,0
202,0,3,0,32.0,8,2,1,0,0,1
203,0,3,0,34.0,0,0,0,0,0,0
204,0,3,0,46.0,0,0,0,1,0,0
205,1,3,0,18.0,0,0,0,0,0,0
206,0,3,1,2.0,0,1,0,0,1,1
207,0,3,0,32.0,1,0,0,0,0,1
208,1,3,0,26.0,0,0,0,1,0,1
209,1,3,1,16.0,0,0,0,2,1,0
210,1,1,0,40.0,0,0,0,1,0,0
211,0,3,0,24.0,0,0,0,0,0,0
212,1,2,1,35.0,0,0,0,0,1,0
213,0,3,0,22.0,0,0,0,0,0,0
214,0,2,0,30.0,0,0,0,0,0,0
215,0,3,0,32.0,1,0,0,2,0,1
216,1,1,1,31.0,1,0,1,1,1,1
217,1,3,1,27.0,0,0,0,0,1,0
218,0,2,0,42.0,1,0,0,0,0,1
219,1,1,1,32.0,0,0,1,1,1,0
220,0,2,0,30.0,0,0,0,0,0,0
221,1,3,0,16.0,0,0,0,0,0,0
222,0,2,0,27.0,0,0,0,0,0,0
223,0,3,0,51.0,0,0,0,0,0,0
224,0,3,0,32.0,0,0,0,0,0,0
225,1,1,0,38.0,1,0,1,0,0,1
226,0,3,0,22.0,0,0,0,0,0,0
227,1,2,0,19.0,0,0,0,0,0,0
228,0,3,0,20.0,0,0,0,0,0,0
229,0,2,0,18.0,0,0,0,0,0,0
230,0,3,1,22.0,3,1,0,0,1,1
231,1,1,1,35.0,1,0,1,0,2,1
232,0,3,0,29.0,0,0,0,0,0,0
233,0,2,0,59.0,0,0,0,0,0,0
234,1,3,1,5.0,4,2,0,0,1,1
235,0,2,0,24.0,0,0,0,0,0,0
236,0,3,1,22.0,0,0,0,0,1,0
237,0,2,0,44.0,1,0,0,0,0,1
238,1,2,1,8.0,0,2,0,0,1,1
239,0,2,0,19.0,0,0,0,0,0,0
240,0,2,0,33.0,0,0,0,0,0,0
241,0,3,1,22.0,1,0,0,1,1,1
242,1,3,1,22.0,1,0,0,2,1,1
243,0,2,0,29.0,0,0,0,0,0,0
244,0,3,0,22.0,0,0,0,0,0,0
245,0,3,0,30.0,0,0,0,1,0,0
246,0,1,0,44.0,2,0,1,2,4,1
247,0,3,1,25.0,0,0,0,0,1,0
248,1,2,1,24.0,0,2,0,0,2,1
249,1,1,0,37.0,1,1,1,0,0,1
250,0,2,0,54.0,1,0,0,0,4,1
251,0,3,0,32.0,0,0,0,0,0,0
252,0,3,1,29.0,1,1,0,0,2,1
253,0,1,0,62.0,0,0,0,0,0,0
254,0,3,0,30.0,1,0,0,0,0,1
255,0,3,1,41.0,0,2,0,0,2,1
256,1,3,1,29.0,0,2,0,1,2,1
257,1,1,1,36.0,0,0,1,1,2,0
258,1,1,1,30.0,0,0,1,0,1,1
259,1,1,1,35.0,0,0,1,1,1,1
260,1,2,1,50.0,0,1,0,0,2,1
261,0,3,0,32.0,0,0,0,2,0,0
262,1,3,0,3.0,4,2,0,0,3,1
263,0,1,0,52.0,1,1,1,0,0,1
264,0,1,0,40.0,0,0,0,0,0,0
265,0,3,1,22.0,0,0,0,2,1,0
266,0,2,0,36.0,0,0,0,0,0,0
267,0,3,0,16.0,4,1,0,0,0,1
268,1,3,0,25.0,1,0,0,0,0,1
269,1,1,1,58.0,0,1,1,0,2,1
270,1,1,1,35.0,0,0,1,0,1,1
271,0,1,0,32.0,0,0,0,0,0,1
272,1,3,0,25.0,0,0,0,0,0,1
273,1,2,1,41.0,0,1,0,0,2,1
274,0,1,0,37.0,0,1,0,1,0,1
275,1,3,1,22.0,0,0,0,2,1,0
276,1,1,1,63.0,1,0,1,0,1,1
277,0,3,1,45.0,0,0,0,0,1,0
278,0,2,0,32.0,0,0,0,0,0,1
279,0,3,0,7.0,4,1,0,2,3,1
280,1,3,1,35.0,1,1,0,0,2,1
281,0,3,0,65.0,0,0,0,2,0,0
282,0,3,0,28.0,0,0,0,0,0,0
283,0,3,0,16.0,0,0,0,0,0,0
284,1,3,0,19.0,0,0,0,0,0,0
285,0,1,0,32.0,0,0,0,0,0,0
286,0,3,0,33.0,0,0,0,1,0,0
287,1,3,0,30.0,0,0,0,0,0,0
288,0,3,0,22.0,0,0,0,0,0,0
289,1,2,0,42.0,0,0,0,0,0,0
290,1,3,1,22.0,0,0,0,2,1,0
291,1,1,1,26.0,0,0,1,0,1,1
292,1,1,1,19.0,1,0,1,1,2,1
293,0,2,0,36.0,0,0,0,1,0,0
294,0,3,1,24.0,0,0,0,0,1,0
295,0,3,0,24.0,0,0,0,0,0,0
296,0,1,0,32.0,0,0,0,1,0,0
297,0,3,0,24.0,0,0,0,1,0,0
298,0,1,1,2.0,1,2,1,0,1,1
299,1,1,0,32.0,0,0,0,0,0,0
300,1,1,1,50.0,0,1,1,1,2,1
301,1,3,1,22.0,0,0,0,2,1,0
302,1,3,0,32.0,2,0,0,2,0,1
303,0,3,0,19.0,0,0,0,0,0,1
304,1,2,1,22.0,0,0,0,2,1,0
305,0,3,0,32.0,0,0,0,0,0,0
306,1,1,0,1.0,1,2,1,0,3,1
307,1,1,1,22.0,0,0,1,1,1,1
308,1,1,1,17.0,1,0,1,1,2,1
309,0,2,0,30.0,1,0,0,1,0,1
310,1,1,1,30.0,0,0,1,1,1,1
311,1,1,1,24.0,0,0,1,1,1,1
312,1,1,1,18.0,2,2,1,1,1,1
313,0,2,1,26.0,1,1,0,0,2,1
314,0,3,0,28.0,0,0,0,0,0,0
315,0,2,0,43.0,1,1,0,0,0,1
316,1,3,1,26.0,0,0,0,0,1,0
317,1,2,1,24.0,1,0,0,0,2,1
318,0,2,0,54.0,0,0,0,0,4,0
319,1,1,1,31.0,0,2,1,0,1,1
320,1,1,1,40.0,1,1,1,1,2,1
321,0,3,0,22.0,0,0,0,0,0,0
322,0,3,0,27.0,0,0,0,0,0,0
323,1,2,1,30.0,0,0,0,2,1,0
324,1,2,1,22.0,1,1,0,0,2,1
325,0,3,0,32.0,8,2,1,0,0,1
326,1,1,1,36.0,0,0,1,1,1,1
327,0,3,0,61.0,0,0,0,0,0,0
328,1,2,1,36.0,0,0,0,0,2,0
329,1,3,1,31.0,1,1,0,0,2,1
330,1,1,1,16.0,0,1,1,1,1,1
331,1,3,1,22.0,2,0,0,2,1,1
332,0,1,0,46.0,0,0,0,0,0,0
333,0,1,0,38.0,0,1,1,0,0,1
334,0,3,0,16.0,2,0,0,0,0,1
335,1,1,1,36.0,1,0,1,0,2,1
336,0,3,0,32.0,0,0,0,0,0,0
337,0,1,0,29.0,1,0,1,0,0,1
338,1,1,1,41.0,0,0,1,1,1,1
339,1,3,0,45.0,0,0,0,0,0,0
340,0,1,0,45.0,0,0,0,0,0,0
341,1,2,0,2.0,1,1,0,0,3,1
342,1,1,1,24.0,3,2,1,0,1,1
343,0,2,0,28.0,0,0,0,0,0,0
344,0,2,0,25.0,0,0,0,0,0,0
345,0,2,0,36.0,0,0,0,0,0,0
346,1,2,1,24.0,0,0,0,0,1,0
347,1,2,1,40.0,0,0,0,0,1,0
348,1,3,1,36.0,1,0,0,0,2,1
349,1,3,0,3.0,1,1,0,0,3,1
350,0,3,0,42.0,0,0,0,0,0,0
351,0,3,0,23.0,0,0,0,0,0,0
352,0,1,0,32.0,0,0,0,0,0,0
353,0,3,0,15.0,1,1,0,1,0,1
354,0,3,0,25.0,1,0,0,0,0,1
355,0,3,0,32.0,0,0,0,1,0,0
356,0,3,0,28.0,0,0,0,0,0,0
357,1,1,1,22.0,0,1,1,0,1,1
358,0,2,1,38.0,0,0,0,0,1,0
359,1,3,1,22.0,0,0,0,2,1,0
360,1,3,1,22.0,0,0,0,2,1,0
361,0,3,0,40.0,1,4,0,0,0,1
362,0,2,0,29.0,1,0,0,1,0,1
363,0,3,1,45.0,0,1,0,1,2,1
364,0,3,0,35.0,0,0,0,0,0,0
365,0,3,0,32.0,1,0,0,2,0,1
366,0,3,0,30.0,0,0,0,0,0,0
367,1,1,1,60.0,1,0,1,1,2,1
368,1,3,1,36.0,0,0,0,1,2,0
369,1,3,1,22.0,0,0,0,2,1,0
370,1,1,1,24.0,0,0,1,1,4,1
371,1,1,0,25.0,1,0,1,1,0,1
372,0,3,0,18.0,1,0,0,0,0,1
373,0,3,0,19.0,0,0,0,0,0,0
374,0,1,0,22.0,0,0,1,1,0,1
375,0,3,1,3.0,3,1,0,0,1,1
376,1,1,1,36.0,1,0,1,1,2,1
377,1,3,1,22.0,0,0,0,0,1,0
378,0,1,0,27.0,0,2,1,1,0,1
379,0,3,0,20.0,0,0,0,1,0,0
380,0,3,0,19.0,0,0,0,0,0,0
381,1,1,1,42.0,0,0,1,1,1,1
382,1,3,1,1.0,0,2,0,1,1,1
383,0,3,0,32.0,0,0,0,0,0,0
384,1,1,1,35.0,1,0,1,0,2,1
385,0,3,0,32.0,0,0,0,0,0,0
386,0,2,0,18.0,0,0,1,0,0,1
387,0,3,0,1.0,5,2,0,0,3,1
388,1,2,1,36.0,0,0,0,0,1,0
389,0,3,0,32.0,0,0,0,2,0,0
390,1,2,1,17.0,0,0,0,1,1,0
391,1,1,0,36.0,1,2,1,0,0,1
392,1,3,0,21.0,0,0,0,0,0,0
393,0,3,0,28.0,2,0,0,0,0,1
394,1,1,1,23.0,1,0,1,1,1,1
395,1,3,1,24.0,0,2,0,0,2,1
396,0,3,0,22.0,0,0,0,0,0,0
397,0,3,1,31.0,0,0,0,0,1,0
398,0,2,0,46.0,0,0,0,0,0,1
399,0,2,0,23.0,0,0,0,0,4,0
400,1,2,1,28.0,0,0,0,0,2,0
401,1,3,0,39.0,0,0,0,0,0,0
402,0,3,0,26.0,0,0,0,0,0,0
403,0,3,1,21.0,1,0,0,0,1,1
404,0,3,0,28.0,1,0,0,0,0,1
405,0,3,1,20.0,0,0,0,0,1,0
406,0,2,0,34.0,1,0,0,0,0,1
407,0,3,0,51.0,0,0,0,0,0,0
408,1,2,0,3.0,1,1,0,0,3,1
409,0,3,0,21.0,0,0,0,0,0,0
410,0,3,1,22.0,3,1,0,0,1,1
411,0,3,0,32.0,0,0,0,0,0,0
412,0,3,0,32.0,0,0,0,2,0,0
413,1,1,1,33.0,1,0,1,2,1,1
414,0,2,0,32.0,0,0,0,0,0,1
415,1,3,0,44.0,0,0,0,0,0,0
416,0,3,1,36.0,0,0,0,0,2,0
417,1,2,1,34.0,1,1,0,0,2,1
418,1,2,1,18.0,0,2,0,0,1,1
419,0,2,0,30.0,0,0,0,0,0,0
420,0,3,1,10.0,0,2,0,0,1,1
421,0,3,0,32.0,0,0,0,1,0,0
422,0,3,0,21.0,0,0,0,2,0,0
423,0,3,0,29.0,0,0,0,0,0,0
424,0,3,1,28.0,1,1,0,0,2,1
425,0,3,0,18.0,1,1,0,0,0,1
426,0,3,0,32.0,0,0,0,0,0,0
427,1,2,1,28.0,1,0,0,0,2,1
428,1,2,1,19.0,0,0,0,0,1,1
429,0,3,0,32.0,0,0,0,2,0,0
430,1,3,0,32.0,0,0,0,0,0,0
431,1,1,0,28.0,0,0,0,0,0,0
432,1,3,1,36.0,1,0,0,0,2,1
433,1,2,1,42.0,1,0,0,0,2,1
434,0,3,0,17.0,0,0,0,0,0,0
435,0,1,0,50.0,1,0,1,0,0,1
436,1,1,1,14.0,1,2,1,0,1,1
437,0,3,1,21.0,2,2,0,0,1,1
438,1,2,1,24.0,2,3,0,0,2,1
439,0,1,0,64.0,1,4,1,0,0,1
440,0,2,0,31.0,0,0,0,0,0,0
441,1,2,1,45.0,1,1,0,0,2,1
442,0,3,0,20.0,0,0,0,0,0,0
443,0,3,0,25.0,1,0,0,0,0,1
444,1,2,1,28.0,0,0,0,0,4,0
445,1,3,0,32.0,0,0,0,0,0,0
446,1,1,0,4.0,0,2,1,0,3,1
